2020-01-01,USD,TTB,108.56
2020-01-02,USD,TTB,108.56
2020-01-03,USD,TTB,108.56
2020-01-04,USD,TTB,108.56
2020-01-05,USD,TTB,108.56
2020-01-06,USD,TTB,107.11
2020-01-07,USD,TTB,107.44
2020-01-08,USD,TTB,106.83
2020-01-09,USD,TTB,108.24
2020-01-10,USD,TTB,108.57
2020-01-11,USD,TTB,108.57
2020-01-12,USD,TTB,108.57
2020-01-13,USD,TTB,108.57
2020-01-14,USD,TTB,109.16
2020-01-15,USD,TTB,108.95
2020-01-16,USD,TTB,108.95
2020-01-17,USD,TTB,109.33
2020-01-18,USD,TTB,109.33
2020-01-19,USD,TTB,109.33
2020-01-20,USD,TTB,109.19
2020-01-21,USD,TTB,109.24
2020-01-22,USD,TTB,108.91
2020-01-23,USD,TTB,108.72
2020-01-24,USD,TTB,108.59
2020-01-25,USD,TTB,108.59
2020-01-26,USD,TTB,108.59
2020-01-27,USD,TTB,108.06
2020-01-28,USD,TTB,107.87
2020-01-29,USD,TTB,108.08
2020-01-30,USD,TTB,108.01
2020-01-31,USD,TTB,108.06
2020-02-01,USD,TTB,108.06
2020-02-02,USD,TTB,108.06
2020-02-03,USD,TTB,107.52
2020-02-04,USD,TTB,107.61
2020-02-05,USD,TTB,108.46
2020-02-06,USD,TTB,108.86
2020-02-07,USD,TTB,108.92
2020-02-08,USD,TTB,108.92
2020-02-09,USD,TTB,108.92
2020-02-10,USD,TTB,108.67
2020-02-11,USD,TTB,108.67
2020-02-12,USD,TTB,108.85
2020-02-13,USD,TTB,108.91
2020-02-14,USD,TTB,108.89
2020-02-15,USD,TTB,108.89
2020-02-16,USD,TTB,108.89
2020-02-17,USD,TTB,108.80
2020-02-18,USD,TTB,108.86
2020-02-19,USD,TTB,108.94
2020-02-20,USD,TTB,110.28
2020-02-21,USD,TTB,111.11
2020-02-22,USD,TTB,111.11
2020-02-23,USD,TTB,111.11
2020-02-24,USD,TTB,111.11
2020-02-25,USD,TTB,109.91
2020-02-26,USD,TTB,109.31
2020-02-27,USD,TTB,109.32
2020-02-28,USD,TTB,108.43
2020-02-29,USD,TTB,108.43
2020-03-01,USD,TTB,108.43
2020-03-02,USD,TTB,106.66
2020-03-03,USD,TTB,107.24
2020-03-04,USD,TTB,106.36
2020-03-05,USD,TTB,106.53
2020-03-06,USD,TTB,105.25
2020-03-07,USD,TTB,105.25
2020-03-08,USD,TTB,105.25
2020-03-09,USD,TTB,101.01
2020-03-10,USD,TTB,102.28
2020-03-11,USD,TTB,103.88
2020-03-12,USD,TTB,103.60
2020-03-13,USD,TTB,104.17
2020-03-14,USD,TTB,104.17
2020-03-15,USD,TTB,104.17
2020-03-16,USD,TTB,105.91
2020-03-17,USD,TTB,105.60
2020-03-18,USD,TTB,106.39
2020-03-19,USD,TTB,107.98
2020-03-20,USD,TTB,107.98
2020-03-21,USD,TTB,107.98
2020-03-22,USD,TTB,107.98
2020-03-23,USD,TTB,109.82
2020-03-24,USD,TTB,109.63
2020-03-25,USD,TTB,110.16
2020-03-26,USD,TTB,109.77
2020-03-27,USD,TTB,107.95
2020-03-28,USD,TTB,107.95
2020-03-29,USD,TTB,107.95
2020-03-30,USD,TTB,106.68
2020-03-31,USD,TTB,107.83
2020-04-01,USD,TTB,106.59
2020-04-02,USD,TTB,106.50
2020-04-03,USD,TTB,107.11
2020-04-04,USD,TTB,107.11
2020-04-05,USD,TTB,107.11
2020-04-06,USD,TTB,107.96
2020-04-07,USD,TTB,108.10
2020-04-08,USD,TTB,107.67
2020-04-09,USD,TTB,108.07
2020-04-10,USD,TTB,107.61
2020-04-11,USD,TTB,107.61
2020-04-12,USD,TTB,107.61
2020-04-13,USD,TTB,107.23
2020-04-14,USD,TTB,106.63
2020-04-15,USD,TTB,106.18
2020-04-16,USD,TTB,106.70
2020-04-17,USD,TTB,106.94
2020-04-18,USD,TTB,106.94
2020-04-19,USD,TTB,106.94
2020-04-20,USD,TTB,106.89
2020-04-21,USD,TTB,106.81
2020-04-22,USD,TTB,106.86
2020-04-23,USD,TTB,106.83
2020-04-24,USD,TTB,106.73
2020-04-25,USD,TTB,106.73
2020-04-26,USD,TTB,106.73
2020-04-27,USD,TTB,106.60
2020-04-28,USD,TTB,106.30
2020-04-29,USD,TTB,106.30
2020-04-30,USD,TTB,105.87
2020-05-01,USD,TTB,106.28
2020-05-02,USD,TTB,106.28
2020-05-03,USD,TTB,106.28
2020-05-04,USD,TTB,106.28
2020-05-05,USD,TTB,106.28
2020-05-06,USD,TTB,106.28
2020-05-07,USD,TTB,105.27
2020-05-08,USD,TTB,105.36
2020-05-09,USD,TTB,105.36
2020-05-10,USD,TTB,105.36
2020-05-11,USD,TTB,105.95
2020-05-12,USD,TTB,106.52
2020-05-13,USD,TTB,106.15
2020-05-14,USD,TTB,105.89
2020-05-15,USD,TTB,106.43
2020-05-16,USD,TTB,106.43
2020-05-17,USD,TTB,106.43
2020-05-18,USD,TTB,106.19
2020-05-19,USD,TTB,106.35
2020-05-20,USD,TTB,106.98
2020-05-21,USD,TTB,106.75
2020-05-22,USD,TTB,106.75
2020-05-23,USD,TTB,106.75
2020-05-24,USD,TTB,106.75
2020-05-25,USD,TTB,106.65
2020-05-26,USD,TTB,106.77
2020-05-27,USD,TTB,106.51
2020-05-28,USD,TTB,106.92
2020-05-29,USD,TTB,106.53
2020-05-30,USD,TTB,106.53
2020-05-31,USD,TTB,106.53
2020-06-01,USD,TTB,106.74
2020-06-02,USD,TTB,106.58
2020-06-03,USD,TTB,107.72
2020-06-04,USD,TTB,107.88
2020-06-05,USD,TTB,108.09
2020-06-06,USD,TTB,108.09
2020-06-07,USD,TTB,108.09
2020-06-08,USD,TTB,108.48
2020-06-09,USD,TTB,107.08
2020-06-10,USD,TTB,106.79
2020-06-11,USD,TTB,106.01
2020-06-12,USD,TTB,105.69
2020-06-13,USD,TTB,105.69
2020-06-14,USD,TTB,105.69
2020-06-15,USD,TTB,106.24
2020-06-16,USD,TTB,106.32
2020-06-17,USD,TTB,106.35
2020-06-18,USD,TTB,105.78
2020-06-19,USD,TTB,105.95
2020-06-20,USD,TTB,105.95
2020-06-21,USD,TTB,105.95
2020-06-22,USD,TTB,105.77
2020-06-23,USD,TTB,105.96
2020-06-24,USD,TTB,105.52
2020-06-25,USD,TTB,106.06
2020-06-26,USD,TTB,106.12
2020-06-27,USD,TTB,106.12
2020-06-28,USD,TTB,106.12
2020-06-29,USD,TTB,106.24
2020-06-30,USD,TTB,106.74
2020-07-01,USD,TTB,107.12
2020-07-02,USD,TTB,106.49
2020-07-03,USD,TTB,106.54
2020-07-04,USD,TTB,106.54
2020-07-05,USD,TTB,106.54
2020-07-06,USD,TTB,106.65
2020-07-07,USD,TTB,106.30
2020-07-08,USD,TTB,106.69
2020-07-09,USD,TTB,106.31
2020-07-10,USD,TTB,106.13
2020-07-11,USD,TTB,106.13
2020-07-12,USD,TTB,106.13
2020-07-13,USD,TTB,105.84
2020-07-14,USD,TTB,106.27
2020-07-15,USD,TTB,106.30
2020-07-16,USD,TTB,105.99
2020-07-17,USD,TTB,106.28
2020-07-18,USD,TTB,106.28
2020-07-19,USD,TTB,106.28
2020-07-20,USD,TTB,106.52
2020-07-21,USD,TTB,106.25
2020-07-22,USD,TTB,105.89
2020-07-23,USD,TTB,105.89
2020-07-24,USD,TTB,105.89
2020-07-25,USD,TTB,105.89
2020-07-26,USD,TTB,105.89
2020-07-27,USD,TTB,104.82
2020-07-28,USD,TTB,104.34
2020-07-29,USD,TTB,104.14
2020-07-30,USD,TTB,104.09
2020-07-31,USD,TTB,103.60
2020-08-01,USD,TTB,103.60
2020-08-02,USD,TTB,103.60
2020-08-03,USD,TTB,105.13
2020-08-04,USD,TTB,105.13
2020-08-05,USD,TTB,104.61
2020-08-06,USD,TTB,104.51
2020-08-07,USD,TTB,104.59
2020-08-08,USD,TTB,104.59
2020-08-09,USD,TTB,104.59
2020-08-10,USD,TTB,104.59
2020-08-11,USD,TTB,105.17
2020-08-12,USD,TTB,105.57
2020-08-13,USD,TTB,105.71
2020-08-14,USD,TTB,105.98
2020-08-15,USD,TTB,105.98
2020-08-16,USD,TTB,105.98
2020-08-17,USD,TTB,105.55
2020-08-18,USD,TTB,104.82
2020-08-19,USD,TTB,104.19
2020-08-20,USD,TTB,105.09
2020-08-21,USD,TTB,104.70
2020-08-22,USD,TTB,104.70
2020-08-23,USD,TTB,104.70
2020-08-24,USD,TTB,104.80
2020-08-25,USD,TTB,105.01
2020-08-26,USD,TTB,105.46
2020-08-27,USD,TTB,104.93
2020-08-28,USD,TTB,105.66
2020-08-29,USD,TTB,105.66
2020-08-30,USD,TTB,105.66
2020-08-31,USD,TTB,104.36
2020-09-01,USD,TTB,104.89
2020-09-02,USD,TTB,105.02
2020-09-03,USD,TTB,105.24
2020-09-04,USD,TTB,105.16
2020-09-05,USD,TTB,105.16
2020-09-06,USD,TTB,105.16
2020-09-07,USD,TTB,105.36
2020-09-08,USD,TTB,105.31
2020-09-09,USD,TTB,104.99
2020-09-10,USD,TTB,105.22
2020-09-11,USD,TTB,105.16
2020-09-12,USD,TTB,105.16
2020-09-13,USD,TTB,105.16
2020-09-14,USD,TTB,105.18
2020-09-15,USD,TTB,104.74
2020-09-16,USD,TTB,104.38
2020-09-17,USD,TTB,104.07
2020-09-18,USD,TTB,103.84
2020-09-19,USD,TTB,103.84
2020-09-20,USD,TTB,103.84
2020-09-21,USD,TTB,103.84
2020-09-22,USD,TTB,103.84
2020-09-23,USD,TTB,104.14
2020-09-24,USD,TTB,104.45
2020-09-25,USD,TTB,104.56
2020-09-26,USD,TTB,104.56
2020-09-27,USD,TTB,104.56
2020-09-28,USD,TTB,104.37
2020-09-29,USD,TTB,104.35
2020-09-30,USD,TTB,104.80
2020-10-01,USD,TTB,104.55
2020-10-02,USD,TTB,104.56
2020-10-03,USD,TTB,104.56
2020-10-04,USD,TTB,104.56
2020-10-05,USD,TTB,104.59
2020-10-06,USD,TTB,104.66
2020-10-07,USD,TTB,104.68
2020-10-08,USD,TTB,105.07
2020-10-09,USD,TTB,104.98
2020-10-10,USD,TTB,104.98
2020-10-11,USD,TTB,104.98
2020-10-12,USD,TTB,104.66
2020-10-13,USD,TTB,104.36
2020-10-14,USD,TTB,104.43
2020-10-15,USD,TTB,104.26
2020-10-16,USD,TTB,104.36
2020-10-17,USD,TTB,104.36
2020-10-18,USD,TTB,104.36
2020-10-19,USD,TTB,104.40
2020-10-20,USD,TTB,104.59
2020-10-21,USD,TTB,104.41
2020-10-22,USD,TTB,103.64
2020-10-23,USD,TTB,103.70
2020-10-24,USD,TTB,103.70
2020-10-25,USD,TTB,103.70
2020-10-26,USD,TTB,103.70
2020-10-27,USD,TTB,103.81
2020-10-28,USD,TTB,103.45
2020-10-29,USD,TTB,103.40
2020-10-30,USD,TTB,103.60
2020-10-31,USD,TTB,103.60
2020-11-01,USD,TTB,103.60
2020-11-02,USD,TTB,103.76
2020-11-03,USD,TTB,103.76
2020-11-04,USD,TTB,103.55
2020-11-05,USD,TTB,103.29
2020-11-06,USD,TTB,102.70
2020-11-07,USD,TTB,102.70
2020-11-08,USD,TTB,102.70
2020-11-09,USD,TTB,102.35
2020-11-10,USD,TTB,104.21
2020-11-11,USD,TTB,104.15
2020-11-12,USD,TTB,104.42
2020-11-13,USD,TTB,103.99
2020-11-14,USD,TTB,103.99
2020-11-15,USD,TTB,103.99
2020-11-16,USD,TTB,103.69
2020-11-17,USD,TTB,103.48
2020-11-18,USD,TTB,103.09
2020-11-19,USD,TTB,102.87
2020-11-20,USD,TTB,102.88
2020-11-21,USD,TTB,102.88
2020-11-22,USD,TTB,102.88
2020-11-23,USD,TTB,102.88
2020-11-24,USD,TTB,103.58
2020-11-25,USD,TTB,103.49
2020-11-26,USD,TTB,103.34
2020-11-27,USD,TTB,103.15
2020-11-28,USD,TTB,103.15
2020-11-29,USD,TTB,103.15
2020-11-30,USD,TTB,102.89
2020-12-01,USD,TTB,103.26
2020-12-02,USD,TTB,103.35
2020-12-03,USD,TTB,103.49
2020-12-04,USD,TTB,102.83
2020-12-05,USD,TTB,102.83
2020-12-06,USD,TTB,102.83
2020-12-07,USD,TTB,103.08
2020-12-08,USD,TTB,103.09
2020-12-09,USD,TTB,103.16
2020-12-10,USD,TTB,103.28
2020-12-11,USD,TTB,103.01
2020-12-12,USD,TTB,103.01
2020-12-13,USD,TTB,103.01
2020-12-14,USD,TTB,103.04
2020-12-15,USD,TTB,103.12
2020-12-16,USD,TTB,102.73
2020-12-17,USD,TTB,102.44
2020-12-18,USD,TTB,102.26
2020-12-19,USD,TTB,102.26
2020-12-20,USD,TTB,102.26
2020-12-21,USD,TTB,102.40
2020-12-22,USD,TTB,102.34
2020-12-23,USD,TTB,102.65
2020-12-24,USD,TTB,102.63
2020-12-25,USD,TTB,102.48
2020-12-26,USD,TTB,102.48
2020-12-27,USD,TTB,102.48
2020-12-28,USD,TTB,102.62
2020-12-29,USD,TTB,102.82
2020-12-30,USD,TTB,102.50
2020-12-31,USD,TTB,102.50
